1-CdSe,,2-CdMnSe,
波长 (nm),吸光度,波长 (nm),吸光度
731,0.0163590365589476,731,0.00389283495317832
730,0.0162260564601927,730,0.0039283321824439
729,0.0165000431605675,729,0.00418528383846005
728,0.0165499239493637,728,0.00417529975805045
727,0.0165798820661268,727,0.00419440562042121
726,0.0170968639689677,726,0.00435808137812577
725,0.0169415863403562,725,0.00390876786130017
724,0.0170751896069726,724,0.00437594017221002
723,0.0166648194521116,723,0.00421045414886736
722,0.0172306496881662,722,0.00415867755743181
721,0.0173740411277791,721,0.00426411908923112
720,0.0167023714829569,720,0.00411733389937122
719,0.0174006342240415,719,0.0041230569649929
718,0.0175087207986458,718,0.00426479876568094
717,0.017521899984572,717,0.00441738690921026
716,0.0175310906147242,716,0.00452859353412496
715,0.0176611548387198,715,0.00454122769657397
714,0.0177916625531785,714,0.00473274696769385
713,0.0179290615988468,713,0.00444264913193248
712,0.0184925446624637,712,0.00454261407632261
711,0.0183705215288719,711,0.00463922687047724
710,0.0188985899247347,710,0.00481518904695099
709,0.0192197493112726,709,0.00489929609349632
708,0.0194200464353421,708,0.00478576982343006
707,0.0198635401798412,707,0.00498297429176292
706,0.0202004375632377,706,0.00503518969678555
705,0.0208808297825928,705,0.00507284943708802
704,0.0211201295053613,704,0.00486649424023846
703,0.0219240579789159,703,0.0048803948029364
702,0.0227826158908834,702,0.00533370265104569
701,0.0237286304844443,701,0.00498444063671967
700,0.0248282554060886,700,0.00511690343055688
699,0.0255689836680925,699,0.00501083569258785
698,0.0267894029008045,698,0.00507952796560143
697,0.0279078564002985,697,0.00500538896239635
696,0.0297975644400137,696,0.00529132987171263
695,0.0315390378183522,695,0.00518744627106165
694,0.0335051807026223,694,0.00528781864567815
693,0.035623573630209,693,0.00528333794323462
692,0.0373712631265719,692,0.0053392583250818
691,0.0396040290927915,691,0.00524948524105613
690,0.0419109906654395,690,0.00554547127086529
689,0.0437341147493013,689,0.00522574800057652
688,0.0462628599937921,688,0.00542666472126859
687,0.0482253067449823,687,0.00567747588090622
