  479.101322	    3.000000
  479.259618	    0.000000
  479.417912	    6.000000
  479.576204	    6.000000
  479.734495	    7.000000
  479.892783	    7.000000
  480.051070	    8.000000
  480.209356	    8.000000
  480.367639	    8.000000
  480.525921	    8.000000
  480.684201	    9.000000
  480.842479	    9.000000
  481.000756	    8.000000
  481.159031	   10.000000
  481.317304	   10.000000
  481.475576	   10.000000
  481.633845	    9.000000
  481.792113	   10.000000
  481.950379	   11.000000
  482.108644	   11.000000
  482.266906	   11.000000
  482.425167	   11.000000
  482.583427	   12.000000
  482.741684	   13.000000
  482.899940	   13.000000
  483.058194	   13.000000
  483.216446	   13.000000
  483.374696	   14.000000
  483.532945	   15.000000
  483.691192	   15.000000
  483.849437	   15.000000
  484.007681	   16.000000
  484.165922	   17.000000
  484.324162	   16.000000
  484.482400	   17.000000
  484.640637	   17.000000
  484.798871	   18.000000
  484.957104	   19.000000
  485.115335	   19.000000
  485.273564	   19.000000
  485.431792	   20.000000
  485.590018	   20.000000
  485.748242	   22.000000
  485.906464	   22.000000
  486.064684	   22.000000
  486.222903	   22.000000
  486.381120	   24.000000
  486.539335	   24.000000
  486.697548	   25.000000
  486.855760	   26.000000
  487.013970	   26.000000
  487.172178	   28.000000
  487.330384	   28.000000
  487.488588	   28.000000
  487.646791	   29.000000
  487.804992	   30.000000
  487.963191	   30.000000
  488.121388	   32.000000
  488.279583	   32.000000
  488.437777	   33.000000
  488.595969	   33.000000
  488.754159	   35.000000
  488.912347	   35.000000
  489.070534	   35.000000
  489.228718	   37.000000
  489.386901	   37.000000
  489.545082	   38.000000
  489.703262	   39.000000
  489.861439	   41.000000
  490.019615	   41.000000
  490.177789	   41.000000
  490.335961	   43.000000
  490.494131	   44.000000
  490.652299	   44.000000
  490.810466	   46.000000
  490.968631	   47.000000
  491.126794	   48.000000
  491.284955	   50.000000
  491.443114	   51.000000
  491.601272	   51.000000
  491.759428	   53.000000
  491.917582	   54.000000
  492.075734	   56.000000
  492.233884	   57.000000
  492.392033	   58.000000
  492.550179	   59.000000
  492.708324	   60.000000
  492.866467	   62.000000
  493.024608	   62.000000
  493.182747	   63.000000
  493.340885	   65.000000
  493.499021	   66.000000
  493.657154	   68.000000
  493.815286	   69.000000
  493.973416	   71.000000
  494.131545	   72.000000
  494.289671	   74.000000
  494.447796	   76.000000
  494.605919	   78.000000
  494.764040	   79.000000
  494.922159	   81.000000
  495.080276	   83.000000
  495.238391	   84.000000
  495.396505	   86.000000
  495.554617	   89.000000
  495.712727	   90.000000
  495.870835	   92.000000
  496.028941	   95.000000
  496.187045	   97.000000
  496.345148	   99.000000
  496.503248	  100.000000
  496.661347	  103.000000
  496.819444	  104.000000
  496.977539	  106.000000
  497.135632	  107.000000
  497.293723	  110.000000
  497.451813	  112.000000
  497.609901	  114.000000
  497.767986	  117.000000
  497.926070	  118.000000
  498.084152	  119.000000
  498.242232	  122.000000
  498.400311	  124.000000
  498.558387	  126.000000
  498.716461	  128.000000
  498.874534	  131.000000
  499.032605	  133.000000
  499.190674	  136.000000
  499.348741	  139.000000
  499.506806	  141.000000
  499.664869	  144.000000
  499.822931	  147.000000
  499.980990	  149.000000
  500.139048	  152.000000
  500.297103	  154.000000
  500.455157	  158.000000
  500.613209	  160.000000
  500.771259	  163.000000
  500.929308	  166.000000
  501.087354	  169.000000
  501.245398	  171.000000
  501.403441	  174.000000
  501.561481	  176.000000
  501.719520	  180.000000
  501.877557	  182.000000
  502.035592	  185.000000
  502.193625	  188.000000
  502.351656	  190.000000
  502.509685	  193.000000
  502.667713	  197.000000
  502.825738	  200.000000
  502.983762	  204.000000
  503.141783	  207.000000
  503.299803	  210.000000
  503.457821	  214.000000
  503.615837	  219.000000
  503.773851	  222.000000
  503.931863	  226.000000
  504.089873	  229.000000
  504.247881	  234.000000
  504.405887	  239.000000
  504.563892	  243.000000
  504.721894	  247.000000
  504.879895	  251.000000
  505.037894	  256.000000
  505.195890	  260.000000
  505.353885	  264.000000
  505.511878	  269.000000
  505.669869	  275.000000
  505.827858	  278.000000
  505.985845	  283.000000
  506.143830	  288.000000
  506.301814	  293.000000
  506.459795	  296.000000
  506.617774	  300.000000
  506.775752	  305.000000
  506.933727	  309.000000
  507.091701	  314.000000
  507.249673	  319.000000
  507.407642	  324.000000
  507.565610	  329.000000
  507.723576	  334.000000
  507.881540	  338.000000
  508.039502	  344.000000
  508.197462	  349.000000
  508.355420	  354.000000
  508.513376	  360.000000
  508.671330	  366.000000
  508.829282	  371.000000
  508.987233	  377.000000
  509.145181	  382.000000
  509.303127	  388.000000
  509.461072	  393.000000
  509.619014	  400.000000
  509.776955	  405.000000
  509.934893	  411.000000
  510.092830	  417.000000
  510.250764	  422.000000
  510.408697	  428.000000
  510.566628	  434.000000
  510.724556	  440.000000
  510.882483	  445.000000
  511.040408	  451.000000
  511.198331	  457.000000
  511.356252	  462.000000
  511.514170	  468.000000
  511.672087	  473.000000
  511.830002	  479.000000
  511.987915	  484.000000
  512.145826	  490.000000
  512.303735	  495.000000
  512.461642	  502.000000
  512.619547	  507.000000
  512.777451	  516.000000
  512.935352	  520.000000
  513.093251	  527.000000
  513.251148	  533.000000
  513.409043	  540.000000
  513.566936	  547.000000
  513.724827	  553.000000
  513.882717	  560.000000
  514.040604	  567.000000
  514.198489	  575.000000
  514.356372	  583.000000
  514.514254	  590.000000
  514.672133	  597.000000
  514.830010	  605.000000
  514.987885	  613.000000
  515.145759	  621.000000
  515.303630	  628.000000
  515.461499	  636.000000
  515.619366	  644.000000
  515.777232	  652.000000
